MSME_ID,Customer_Segment,Business_Type,Industry,Location_Category,Years_in_Operation,Employee_Count,Annual_Turnover_INR,Monthly_GST_Sales_INR,Monthly_GST_Purchases_INR,GST_Filing_Timeliness_Pct,GST_Return_Frequency,Monthly_UPI_Inflow_INR,Monthly_UPI_Outflow_INR,UPI_Avg_Ticket_Size_INR,UPI_Daily_Txn_Count,Transaction_Volatility_Index,Monthly_Bank_Credits_INR,Monthly_Bank_Debits_INR,Average_Bank_Balance_INR,Cashflow_Stability_Index,Has_Existing_Loan,Monthly_Loan_EMI_INR,EMI_On_Time_Rate_Pct,Overdraft_Usage_Ratio,Monthly_Payroll_INR,Salary_Consistency_Pct,Employee_Attrition_Rate_Pct,Avg_Invoice_Payment_Delay_Days,Customer_Concentration_Ratio,Vendor_Payment_Timeliness_Pct,Seasonality_Index,Revenue_Growth_Rate_Pct,Credit_History_Months,Business_Stability_Score,Cashflow_Score,Revenue_Consistency_Score,Payment_Behaviour_Score,Business_Growth_Score,Compliance_Score,Financial_Health_Score,Probability_of_Default,Credit_Risk_Category,Credit_Eligible,Recommended_Credit_Limit_INR
MSME0000011,Existing-to-Credit,Proprietorship,Services,Tier 2,2.3,2,2986893,237210,95689,90.3,Monthly,150231,83458,671,8.6,0.106,284580,230390,107878,0.783,Yes,82929,91.8,0.236,43553,88.3,14.9,12.5,0.794,88.2,0.174,-0.9,19,63.4,76.0,80.2,88.4,32.3,89.8,76.0,0.065,Medium,Yes,278000
MSME0000012,Existing-to-Credit,LLP,Healthcare,Metro,3.2,2,2160892,171784,75277,81.7,Monthly,62458,23035,267,9.0,0.285,185142,159917,83970,0.634,Yes,21967,90.6,0.263,40800,87.0,17.3,5.5,0.208,80.5,0.44,-25.6,9,65.6,66.0,59.0,85.9,15.0,83.0,70.9,0.1275,Medium,Yes,172000
MSME0000013,NTC,Proprietorship,Food & Beverage,Tier 2,16.1,1,1295838,96161,52992,78.1,Monthly,25251,18443,357,2.7,0.446,109849,81027,43672,0.614,No,0,,0.298,31287,77.8,2.4,18.9,0.497,77.5,0.251,-21.2,0,85.0,66.5,54.8,78.8,16.3,78.0,64.0,0.2953,High,No,0
MSME0000014,Existing-to-Credit,Proprietorship,Construction,Tier 3,4.3,2,4460873,420361,313611,82.0,Monthly,89428,40036,344,10.0,0.257,394619,298859,158435,0.71,Yes,62757,90.0,0.195,45242,83.4,16.9,23.3,0.598,82.6,0.595,9.3,14,67.6,74.0,62.1,82.0,39.5,82.3,76.0,0.0842,Medium,Yes,385000
MSME0000015,NTB,Partnership,Services,Tier 2,1.4,2,5522051,443671,249743,88.3,Monthly,273997,126237,453,23.3,0.222,507827,445781,115438,0.738,No,0,,0.147,29770,89.3,20.8,6.6,0.618,80.4,0.383,17.4,0,58.1,74.4,70.7,83.8,45.1,88.6,77.2,0.0588,Low,Yes,873000
MSME0000016,NTB,Proprietorship,Manufacturing,Tier 2,6.7,7,13175186,1275409,776366,75.6,Monthly,431072,300712,1507,11.0,0.463,1402128,1217072,442432,0.552,Yes,243340,85.3,0.389,102394,79.3,16.8,7.4,0.504,72.6,0.173,-5.4,57,71.4,58.3,58.1,80.0,33.6,76.5,68.7,0.2103,High,No,0
MSME0000017,Existing-to-Credit,Proprietorship,Trading,Tier 3,4.3,2,7403407,643319,365611,86.8,Monthly,261720,69716,1004,10.0,0.199,637315,523840,307183,0.816,Yes,120561,96.1,0.2,47989,90.0,12.2,32.8,0.188,85.7,0.314,10.7,20,70.8,78.4,72.8,82.2,40.4,87.6,80.6,0.0581,Low,Yes,1263000
MSME0000018,Existing-to-Credit,Private Limited,Retail,Tier 2,3.8,1,1106161,92111,53808,86.0,Monthly,67640,49311,331,7.8,0.247,93331,84627,24928,0.716,Yes,11160,87.9,0.113,19436,87.1,14.1,25.9,0.543,93.7,0.466,19.4,39,68.2,73.4,67.4,86.9,44.7,86.3,75.1,0.0912,Medium,Yes,96000
MSME0000019,NTC,Partnership,Construction,Tier 1,3.0,3,7930090,674529,541452,81.8,Quarterly,149187,134526,734,7.8,0.272,704077,524567,441851,0.818,No,0,,0.191,88568,87.7,10.1,7.6,0.219,78.5,0.32,25.1,0,66.9,80.3,70.4,82.5,51.8,83.2,81.3,0.0536,Low,Yes,1355000
MSME0000020,NTB,Proprietorship,Food & Beverage,Metro,6.0,2,2430537,216618,148245,75.0,Monthly,135728,84628,854,6.1,0.388,234554,221862,55824,0.565,Yes,31368,84.3,0.409,35815,79.9,6.5,9.8,0.25,65.8,0.503,1.0,30,72.8,56.9,55.3,75.3,33.6,76.2,66.8,0.2392,High,No,0
MSME0000021,Existing-to-Credit,Proprietorship,Logistics,Tier 1,11.3,5,15586130,1353210,766942,96.9,Monthly,164140,82353,577,10.9,0.235,1305704,871748,773237,0.779,Yes,426198,94.6,0.074,73170,91.1,12.8,9.8,0.658,92.0,0.3,31.8,99,82.0,82.6,74.2,91.8,58.3,95.5,85.8,0.0172,Low,Yes,2566000
MSME0000022,Existing-to-Credit,Proprietorship,Services,Tier 1,1.8,1,4048814,285641,183927,76.9,Quarterly,101163,36206,321,12.1,0.289,282039,256002,97098,0.637,Yes,98714,84.2,0.212,13196,80.8,16.2,34.6,0.359,81.5,0.376,-19.7,13,58.7,66.6,61.3,77.0,17.3,77.8,69.1,0.1729,High,No,0
MSME0000023,Existing-to-Credit,Private Limited,IT & Digital,Tier 1,2.9,1,928498,64933,51385,94.4,Monthly,18797,11356,221,3.3,0.132,74376,58147,37146,0.802,Yes,23616,97.4,0.272,17731,91.6,34.1,0.0,0.304,90.2,0.45,13.3,19,61.8,76.7,73.8,94.1,40.4,93.7,80.2,0.0401,Low,Yes,156000
MSME0000024,NTB,Partnership,Textiles,Tier 1,2.6,2,4750118,400786,229050,83.3,Monthly,33326,16970,286,4.5,0.232,465831,406975,107232,0.648,No,0,,0.256,40324,79.8,14.9,6.1,0.179,96.6,0.642,-3.6,0,62.0,66.8,60.5,92.8,30.4,82.4,79.0,0.0528,Low,Yes,682000
MSME0000025,NTC,Proprietorship,Logistics,Tier 3,4.0,10,26608940,2097938,1069647,78.7,Monthly,304579,264466,443,26.5,0.29,2305157,1865473,1101761,0.686,No,0,,0.188,242400,84.1,4.4,5.2,0.43,90.9,0.08,15.1,0,70.2,71.9,73.9,90.0,49.3,80.1,77.6,0.0571,Low,Yes,3985000
MSME0000026,NTC,Proprietorship,Manufacturing,Tier 1,6.7,1,1157144,92505,64125,68.0,Quarterly,36115,15668,156,8.9,0.523,96666,98324,5000,0.631,No,0,,0.502,17399,71.4,25.6,10.3,0.362,71.3,0.544,1.7,0,66.8,56.8,46.2,77.8,32.3,68.9,65.3,0.3074,High,No,0
MSME0000027,NTB,Private Limited,Services,Tier 3,3.9,2,9809893,790754,635531,81.3,Monthly,625307,335740,1158,20.8,0.379,708298,535318,475634,0.674,No,0,,0.291,51977,73.4,21.9,10.7,0.81,76.8,0.341,12.3,0,62.4,69.7,61.6,80.7,41.6,79.3,63.2,0.2921,High,No,0
MSME0000028,NTC,LLP,Retail,Tier 1,7.6,1,403065,30594,26211,89.1,Quarterly,9406,5896,304,1.2,0.235,29408,25762,7891,0.687,No,0,,0.173,18408,89.8,17.1,4.6,0.805,93.8,0.162,18.7,0,75.9,70.9,75.6,91.7,44.2,89.3,73.6,0.0906,Medium,Yes,34000
MSME0000029,NTB,LLP,Retail,Rural,3.9,2,5391103,426769,290085,81.9,Monthly,138124,97129,285,18.7,0.311,477262,435904,87665,0.568,Yes,122277,86.7,0.226,32269,85.5,12.3,18.4,0.287,81.4,0.146,14.9,38,68.4,62.3,70.9,82.0,43.3,82.8,75.6,0.0902,Medium,Yes,397000
MSME0000030,Existing-to-Credit,Proprietorship,Food & Beverage,Tier 2,7.7,2,2226152,175666,87945,76.2,Monthly,100070,74135,202,19.1,0.348,183484,128641,172076,0.609,Yes,15701,78.4,0.355,81391,78.1,17.6,25.8,0.664,73.8,0.535,9.0,41,72.4,65.6,58.1,74.1,39.3,76.7,66.2,0.26,High,No,0
MSME0000031,NTB,Proprietorship,Logistics,Tier 2,9.9,1,2486380,187264,106631,75.8,Monthly,11903,5222,417,1.1,0.363,187645,161176,78918,0.496,No,0,,0.296,17002,73.5,19.1,18.2,0.491,78.5,0.581,-10.3,0,73.6,57.7,53.1,79.5,23.9,75.2,64.9,0.2621,High,No,0
MSME0000032,NTC,Proprietorship,IT & Digital,Tier 2,8.3,5,11765466,1064933,848625,82.5,Monthly,272483,154453,986,10.6,0.247,1135677,812719,717034,0.675,No,0,,0.229,124237,82.1,16.0,19.7,0.114,70.1,0.396,4.4,0,74.9,72.1,66.9,74.5,39.1,82.4,73.9,0.0933,Medium,Yes,979000
MSME0000033,NTB,LLP,Services,Tier 2,5.8,5,12415852,948313,369755,87.5,Monthly,428620,216631,1625,10.1,0.205,1103193,752980,572925,0.696,Yes,386117,91.9,0.084,124409,87.7,9.7,5.0,0.371,89.0,0.209,-27.3,24,74.0,77.5,69.4,91.0,17.0,87.6,78.2,0.0514,Low,Yes,1879000
MSME0000034,Existing-to-Credit,Proprietorship,Services,Tier 3,10.7,1,466979,36529,21792,88.0,Quarterly,18321,9561,229,3.1,0.242,40470,40825,5000,0.64,Yes,4257,84.3,0.19,14598,83.4,14.0,12.7,0.703,79.9,0.262,11.0,42,78.7,65.3,71.6,82.2,38.8,86.8,74.1,0.0929,Medium,Yes,37000
MSME0000035,Existing-to-Credit,Private Limited,Services,Tier 1,3.9,1,2611202,214948,127115,93.6,Monthly,180060,118966,530,13.1,0.2,261645,214824,110482,0.777,Yes,55215,89.3,0.281,18069,87.7,10.0,19.3,0.391,95.9,0.364,8.4,12,69.6,74.3,71.2,90.2,37.0,92.2,77.3,0.0726,Medium,Yes,241000
MSME0000036,NTC,Proprietorship,Manufacturing,Tier 3,1.9,5,6709882,541716,273960,81.4,Monthly,220475,150022,608,13.9,0.361,539436,445097,300880,0.635,No,0,,0.303,120931,80.4,16.7,6.0,0.118,75.2,0.446,27.6,0,58.9,65.9,62.3,81.1,55.3,81.1,71.3,0.139,Medium,Yes,534000
MSME0000037,NTB,Proprietorship,Retail,Tier 1,1.6,1,991166,90265,27853,88.1,Monthly,39839,22979,492,3.1,0.372,101115,92393,26437,0.674,Yes,14771,90.8,0.27,15541,90.3,5.3,4.9,0.669,89.1,0.692,-7.3,10,63.3,67.1,50.2,90.8,26.0,88.6,72.3,0.1173,Medium,Yes,82000
MSME0000038,Existing-to-Credit,Proprietorship,Services,Tier 3,1.6,5,12155107,907483,746905,94.5,Monthly,547421,356639,798,26.4,0.187,906610,759386,396979,0.836,Yes,215563,91.4,0.177,80053,98.3,8.6,10.2,0.383,93.3,0.439,28.3,12,64.9,79.8,73.0,91.7,55.8,95.4,85.4,0.0177,Low,Yes,2112000
MSME0000039,NTB,LLP,Manufacturing,Metro,4.5,12,17369911,1249502,790904,88.6,Monthly,407318,257520,2029,7.7,0.239,1125908,851237,554198,0.728,No,0,,0.167,304915,88.0,17.1,10.4,0.415,93.0,0.069,7.3,0,69.5,75.8,76.0,89.7,44.6,88.5,78.9,0.0567,Low,Yes,2718000
MSME0000040,NTC,Private Limited,Food & Beverage,Tier 2,8.5,1,1100636,92408,71803,92.2,Monthly,40449,18927,359,4.3,0.212,101015,81298,49871,0.805,No,0,,0.161,25663,90.2,12.0,14.0,0.782,88.5,0.361,35.2,0,78.6,79.1,74.5,86.2,55.7,91.7,79.5,0.045,Low,Yes,186000
MSME0000041,NTC,Partnership,Services,Tier 1,1.1,2,2450007,154745,97287,91.2,Monthly,92879,50804,215,16.6,0.505,142845,109187,93615,0.644,No,0,,0.216,27417,85.6,10.9,10.9,0.153,76.7,0.491,11.3,0,57.7,69.7,50.1,80.6,40.8,89.8,78.4,0.0684,Medium,Yes,197000
MSME0000042,NTB,Proprietorship,Construction,Tier 3,2.2,1,3319343,254731,151839,85.2,Monthly,62607,39231,311,7.7,0.072,252062,197221,118075,0.676,No,0,,0.294,16597,89.7,12.0,4.1,0.662,92.3,0.329,7.6,0,64.2,69.2,79.6,91.0,36.4,86.3,76.7,0.0613,Medium,Yes,277000
MSME0000043,NTC,Proprietorship,Food & Beverage,Metro,8.8,3,5848652,434984,402033,92.3,Monthly,168218,76394,927,7.0,0.248,394531,357358,115301,0.629,No,0,,0.301,69699,83.9,6.0,8.5,0.653,83.7,0.703,24.2,0,78.6,63.9,62.2,85.1,51.2,90.2,75.7,0.0873,Medium,Yes,463000
MSME0000044,NTB,Proprietorship,Services,Tier 2,1.4,7,6689169,535532,324123,81.9,Monthly,308680,111175,913,13.0,0.319,476117,333198,438477,0.762,No,0,,0.284,137467,82.1,26.2,8.0,0.271,78.7,0.399,27.5,0,54.6,75.8,66.0,82.5,56.6,81.9,75.1,0.0979,Medium,Yes,609000
MSME0000045,NTC,Proprietorship,Construction,Rural,4.8,2,2481379,212546,115293,74.7,Monthly,17262,9643,206,3.2,0.369,220786,121091,182982,0.599,No,0,,0.391,49189,72.3,23.7,14.9,0.769,72.2,0.286,26.7,0,63.8,67.2,65.7,77.0,51.6,74.1,64.4,0.3027,High,No,0
MSME0000046,NTB,Partnership,Construction,Tier 2,1.0,1,1515877,121998,65689,83.2,Monthly,44359,27477,231,7.4,0.261,122924,81566,119854,0.689,No,0,,0.159,23917,85.7,16.1,14.3,0.298,89.1,0.565,13.1,0,55.8,75.6,63.2,86.4,40.3,83.8,78.3,0.0499,Low,Yes,228000
MSME0000047,NTC,Partnership,Services,Tier 1,1.5,1,848384,74704,53879,81.6,Monthly,36229,16781,369,3.8,0.337,75076,55780,43523,0.703,No,0,,0.345,17858,83.3,11.5,20.0,0.468,79.2,0.335,-27.7,0,59.1,70.2,58.3,79.4,11.7,82.0,66.7,0.2278,High,No,0
MSME0000048,Existing-to-Credit,Proprietorship,Manufacturing,Tier 3,3.6,1,1893312,142381,88192,84.4,Monthly,49105,24573,272,6.9,0.367,152477,127588,54197,0.682,Yes,24110,90.4,0.291,30735,82.3,28.9,5.8,0.504,78.0,0.416,37.2,12,62.5,68.5,64.2,84.4,57.2,83.8,76.2,0.0885,Medium,Yes,159000
MSME0000049,NTC,LLP,Food & Beverage,Tier 3,2.8,2,3630007,321997,212557,79.3,Monthly,243665,161816,1031,9.1,0.325,364834,330225,106263,0.544,No,0,,0.3,32798,77.1,10.9,21.1,0.37,90.1,0.469,5.5,0,62.9,59.3,60.6,85.1,36.8,78.7,70.9,0.1476,Medium,Yes,259000
MSME0000050,Existing-to-Credit,Proprietorship,Retail,Metro,8.9,7,18962400,1452620,702935,84.3,Quarterly,478164,323610,1450,12.7,0.319,1436976,902537,841144,0.649,Yes,112944,87.2,0.244,180783,83.6,1.6,7.1,0.284,70.0,0.533,6.7,37,79.7,72.0,59.5,79.0,42.0,84.1,74.3,0.1035,Medium,Yes,1534000
MSME0000051,NTB,Partnership,Manufacturing,Metro,4.7,6,13190813,1025277,519567,77.9,Monthly,271385,161052,965,10.8,0.394,918006,711229,491742,0.584,No,0,,0.253,127277,84.7,1.0,32.1,0.324,79.5,0.163,19.0,0,73.0,65.3,66.1,76.2,50.0,79.6,71.1,0.1786,High,No,0
MSME0000052,Existing-to-Credit,Partnership,Retail,Metro,1.6,1,631251,56849,47817,79.5,Monthly,30101,21932,281,4.1,0.315,55684,45183,35925,0.714,Yes,10917,85.2,0.312,36584,84.1,20.4,10.0,0.635,84.5,0.601,-32.3,10,57.6,70.3,52.2,85.7,8.5,80.6,72.0,0.1297,Medium,Yes,55000
MSME0000053,NTC,Private Limited,Construction,Tier 1,0.9,1,1491471,107094,78540,74.2,Monthly,13386,7970,155,3.3,0.312,113485,88487,62903,0.588,No,0,,0.313,16595,76.3,17.0,41.3,0.504,81.7,0.153,-1.9,0,52.1,63.9,68.2,74.9,29.8,74.7,62.5,0.3602,High,No,0
MSME0000054,Existing-to-Credit,LLP,Food & Beverage,Tier 1,5.2,1,1801274,133961,89316,83.2,Monthly,68852,37994,331,8.0,0.455,142694,106640,70056,0.633,Yes,7135,90.0,0.297,14223,82.4,1.0,5.2,0.492,83.8,0.672,37.4,21,73.4,67.4,52.5,87.7,57.3,83.0,77.3,0.0816,Medium,Yes,143000
MSME0000055,NTC,Private Limited,Food & Beverage,Metro,0.3,1,623594,52809,32156,97.2,Monthly,20426,13061,133,5.9,0.23,54549,42424,28039,0.69,No,0,,0.094,18892,96.7,9.9,11.8,0.216,83.1,0.302,45.0,0,55.0,75.1,76.4,83.8,62.6,97.1,83.5,0.0152,Low,Yes,94000
MSME0000056,NTB,Partnership,Construction,Tier 1,3.1,1,1775865,149596,91227,89.5,Monthly,9591,4847,601,0.6,0.252,157046,99327,167949,0.708,Yes,25452,92.4,0.232,16997,88.8,8.5,6.1,0.569,66.2,0.228,-15.0,20,68.0,75.5,67.9,78.2,20.6,89.3,71.7,0.1158,Medium,Yes,153000
MSME0000057,NTC,LLP,Services,Metro,10.3,1,1838278,164193,101691,74.8,Monthly,89058,49381,134,25.6,0.254,177661,149894,85892,0.682,No,0,,0.3,29355,81.8,20.4,6.3,0.524,66.4,0.218,21.0,0,76.2,68.1,73.5,76.2,45.8,76.6,71.5,0.1261,Medium,Yes,154000
MSME0000058,NTB,Proprietorship,Trading,Tier 3,8.5,4,12841204,1038785,523383,75.7,Monthly,65424,45376,100,25.2,0.363,1124851,1026897,348841,0.583,No,0,,0.258,46086,80.3,21.1,8.8,0.248,78.7,0.162,3.8,0,73.3,62.4,65.7,82.3,37.9,76.8,69.4,0.1573,High,No,0
MSME0000059,Existing-to-Credit,Proprietorship,Retail,Tier 2,5.1,2,4328272,352735,301452,94.6,Monthly,192769,77613,447,16.6,0.185,370344,271687,278777,0.775,Yes,31525,97.3,0.23,47227,90.5,12.6,9.4,0.297,81.7,0.566,-1.9,51,72.7,77.2,65.4,86.8,31.6,93.5,78.7,0.0575,Low,Yes,710000
MSME0000060,NTC,Proprietorship,Retail,Tier 1,4.4,4,9253886,738877,357183,79.0,Monthly,485367,330934,2731,6.8,0.353,823962,616381,544513,0.566,No,0,,0.392,97513,69.8,19.1,29.4,0.68,83.6,0.209,24.6,0,63.3,61.4,68.3,79.2,52.4,76.7,64.3,0.3222,High,No,0
MSME0000061,NTB,LLP,Food & Beverage,Tier 1,1.9,5,20317537,1749912,808643,79.0,Monthly,1320085,678904,3492,14.5,0.336,1826293,1604367,571031,0.639,No,0,,0.279,91718,79.1,3.2,8.6,0.314,82.8,0.454,-2.6,0,61.9,65.6,59.1,84.5,34.2,79.0,68.2,0.187,High,No,0
MSME0000062,Existing-to-Credit,LLP,Services,Tier 1,0.9,4,14444361,1183435,738016,86.7,Monthly,400652,132539,3971,3.9,0.286,1158929,917240,370042,0.653,Yes,405625,90.6,0.209,47639,84.0,13.7,5.3,0.41,79.6,0.304,5.3,8,55.2,69.8,67.0,85.4,39.0,86.0,76.8,0.0634,Medium,Yes,1174000
MSME0000063,NTB,Private Limited,Trading,Metro,9.7,2,3409081,286296,134651,87.5,Monthly,105462,48778,348,11.7,0.26,311543,245866,213738,0.74,No,0,,0.182,40003,90.9,14.1,7.5,0.261,89.2,0.332,8.3,0,79.8,75.4,68.3,88.4,38.7,88.4,79.1,0.051,Low,Yes,540000
MSME0000064,NTB,Private Limited,Logistics,Tier 1,2.8,7,18371315,1728057,826556,73.0,Monthly,515789,313853,959,20.7,0.441,1878322,1453848,1393576,0.488,No,0,,0.397,142187,74.4,8.4,13.0,0.238,75.7,0.177,4.5,0,62.7,56.4,60.8,79.5,40.5,73.3,62.2,0.363,High,No,0
MSME0000065,NTB,Partnership,Food & Beverage,Metro,2.4,3,5786360,456819,285477,86.6,Monthly,244108,138122,1914,4.9,0.31,452304,355955,193815,0.592,No,0,,0.334,124696,86.8,16.5,14.7,0.516,72.5,0.724,-4.2,0,63.0,63.5,53.7,77.2,31.2,86.7,68.8,0.1808,High,No,0
MSME0000066,Existing-to-Credit,Private Limited,Trading,Tier 2,8.6,2,3936780,339768,249689,75.0,Monthly,89950,41836,344,10.1,0.381,383767,291948,270547,0.471,Yes,37625,84.2,0.332,57789,72.8,22.8,12.7,0.587,68.3,0.362,-4.8,41,70.8,57.4,58.3,75.9,29.5,74.4,68.7,0.1874,High,No,0
MSME0000067,Existing-to-Credit,Proprietorship,Trading,Rural,5.7,5,7707029,649597,384650,82.1,Monthly,62046,32264,260,9.2,0.331,655712,550305,300805,0.645,Yes,62932,83.2,0.371,144926,74.5,33.8,14.0,0.25,70.3,0.529,-9.2,42,63.8,64.4,56.6,76.4,29.6,80.2,70.9,0.1591,High,No,0
MSME0000068,NTB,Partnership,Manufacturing,Tier 3,6.4,9,23936609,2009330,1682637,78.4,Monthly,910811,412157,2270,15.4,0.271,1931026,1799426,522722,0.674,No,0,,0.233,134902,76.1,14.6,15.8,0.386,80.9,0.326,9.2,0,70.4,67.6,68.0,81.5,44.7,77.8,75.0,0.0942,Medium,Yes,1991000
MSME0000069,Existing-to-Credit,Private Limited,Retail,Rural,8.3,4,8170052,765823,457585,96.8,Quarterly,336206,89757,1112,11.6,0.242,717768,635884,203402,0.791,Yes,156231,92.2,0.079,63758,95.5,20.5,13.2,0.242,85.5,0.306,36.4,32,77.7,78.8,74.3,86.8,60.7,96.5,84.5,0.0217,Low,Yes,1361000
MSME0000070,NTB,Proprietorship,Services,Tier 1,6.0,3,14132033,1281871,755817,92.8,Monthly,645197,544490,2208,11.2,0.173,1497671,854803,1239633,0.751,No,0,,0.197,65161,89.9,12.5,6.9,0.486,91.3,0.126,11.0,0,74.4,80.0,79.1,89.7,41.9,92.1,81.2,0.035,Low,Yes,2263000
MSME0000071,NTC,Partnership,Manufacturing,Tier 2,3.5,2,9440824,812394,596075,93.9,Monthly,89921,52107,260,13.3,0.251,881381,694281,497704,0.747,No,0,,0.153,24926,93.4,22.1,3.0,0.851,85.0,0.145,39.8,0,67.2,76.5,78.3,87.3,60.8,93.8,82.4,0.0364,Low,Yes,1506000
MSME0000072,NTC,Proprietorship,Services,Tier 3,5.6,9,10342232,857398,582551,88.5,Monthly,309977,140507,1550,7.7,0.24,985287,806668,412617,0.669,No,0,,0.256,125979,85.6,19.9,7.4,0.43,82.1,0.315,20.1,0,70.4,69.0,71.7,84.5,52.4,87.8,76.3,0.079,Medium,Yes,855000
MSME0000073,NTB,Partnership,Textiles,Tier 1,10.2,4,7086051,585987,432849,100.0,Monthly,131939,75739,297,17.1,0.398,679303,464261,356615,0.767,No,0,,0.126,55003,95.7,22.4,4.5,0.364,96.9,0.478,6.6,0,79.8,80.4,56.2,93.4,39.8,98.9,83.5,0.0429,Low,Yes,1153000
MSME0000074,NTB,LLP,Manufacturing,Metro,6.0,2,4443661,391032,274883,72.6,Monthly,54764,30614,506,4.2,0.249,395220,348443,115013,0.581,Yes,138327,85.1,0.376,36935,75.7,10.6,32.7,0.61,75.1,0.399,7.0,49,70.6,59.9,67.1,74.2,37.8,73.3,67.9,0.2202,High,No,0
MSME0000075,Existing-to-Credit,Private Limited,Retail,Tier 2,5.7,1,1057190,82061,45404,93.3,Monthly,41793,21783,356,4.5,0.185,88185,66911,57445,0.718,Yes,10753,95.7,0.121,18421,89.9,13.4,9.1,0.19,97.1,0.224,10.4,53,73.6,76.3,75.9,95.0,38.4,92.4,81.4,0.0446,Low,Yes,164000
